index,date,observation,value
FI09,1963-02,Air temperature,-11.9
FI10,1963-02,Air temperature,-15.9
FI11,1963-02,Air temperature,-12.0
FI12,1963-02,Air temperature,-11.3
FI13,1963-02,Air temperature,-14.1
FI14,1963-02,Air temperature,-13.6
FI15,1963-02,Air temperature,-13.3
FI16,1963-02,Air temperature,-12.1
FI17,1963-02,Air temperature,-11.2
FI18,1963-02,Air temperature,-11.4
FI19,1963-02,Air temperature,-11.2
FI02,1963-03,Air temperature,-10.5
FI03,1963-03,Air temperature,-9.2
FI04,1963-03,Air temperature,-11.1
FI05,1963-03,Air temperature,-13.2
FI06,1963-03,Air temperature,-10.1
FI07,1963-03,Air temperature,-10.0
FI08,1963-03,Air temperature,-10.2
FI09,1963-03,Air temperature,-9.8
FI10,1963-03,Air temperature,-13.3
FI11,1963-03,Air temperature,-9.1
FI12,1963-03,Air temperature,-8.8
FI13,1963-03,Air temperature,-12.7
FI14,1963-03,Air temperature,-12.0
FI15,1963-03,Air temperature,-11.0
FI16,1963-03,Air temperature,-9.9
FI17,1963-03,Air temperature,-8.4
FI18,1963-03,Air temperature,-9.3
FI19,1963-03,Air temperature,-8.6
FI02,1963-04,Air temperature,2.1
FI03,1963-04,Air temperature,2.0
FI04,1963-04,Air temperature,1.9
FI05,1963-04,Air temperature,0.6
FI06,1963-04,Air temperature,2.0
FI07,1963-04,Air temperature,1.2
FI08,1963-04,Air temperature,1.9
FI09,1963-04,Air temperature,1.8
FI10,1963-04,Air temperature,-1.0
FI11,1963-04,Air temperature,2.1
FI12,1963-04,Air temperature,1.4
FI13,1963-04,Air temperature,1.1
FI14,1963-04,Air temperature,0.8
FI15,1963-04,Air temperature,1.7
FI16,1963-04,Air temperature,2.5
